vector<char>,1,149
deque<char>,1,189
vector<char>,2,141
deque<char>,2,186
vector<char>,4,142
deque<char>,4,185
vector<char>,8,149
deque<char>,8,200
vector<char>,16,130
deque<char>,16,180
vector<char>,32,124
deque<char>,32,181
vector<char>,64,125
deque<char>,64,200
vector<char>,128,148
deque<char>,128,191
vector<char>,256,176
deque<char>,256,187
vector<char>,512,158
deque<char>,512,188
vector<char>,1024,132
deque<char>,1024,199
vector<char>,2048,142
deque<char>,2048,200
vector<char>,4096,173
deque<char>,4096,187
vector<char>,8192,225
deque<char>,8192,195
vector<char>,16384,974
deque<char>,16384,198
vector<char>,32768,1985
deque<char>,32768,215
