vector<char>,1,937
deque<char>,1,520
vector<char>,2,937
deque<char>,2,520
vector<char>,4,989
deque<char>,4,520
vector<char>,8,989
deque<char>,8,521
vector<char>,16,938
deque<char>,16,521
vector<char>,32,1042
deque<char>,32,521
vector<char>,64,1093
deque<char>,64,520
vector<char>,128,1093
deque<char>,128,521
vector<char>,256,1198
deque<char>,256,521
vector<char>,512,1615
deque<char>,512,521
vector<char>,1024,2031
deque<char>,1024,521
vector<char>,2048,2656
deque<char>,2048,572
vector<char>,4096,3854
deque<char>,4096,937
vector<char>,8192,6146
deque<char>,8192,937
vector<char>,16384,10573
deque<char>,16384,989
vector<char>,32768,20104
deque<char>,32768,1042
