vector<char>,1,200
deque<char>,1,100
vector<char>,2,200
deque<char>,2,100
vector<char>,4,200
deque<char>,4,100
vector<char>,8,200
deque<char>,8,100
vector<char>,16,200
deque<char>,16,100
vector<char>,32,300
deque<char>,32,100
vector<char>,64,500
deque<char>,64,100
vector<char>,128,400
deque<char>,128,100
vector<char>,256,500
deque<char>,256,100
vector<char>,512,500
deque<char>,512,100
vector<char>,1024,500
deque<char>,1024,100
vector<char>,2048,400
deque<char>,2048,100
vector<char>,4096,600
deque<char>,4096,100
vector<char>,8192,900
deque<char>,8192,200
vector<char>,16384,1300
deque<char>,16384,200
vector<char>,32768,2300
deque<char>,32768,200
